snippet,label,match,pmid,strategy,http_status
Inhibition of dipyridamole-induced ischemia by antianginal therapy in humans. Correlation with exercise,Cardiovascular Diseases,1.0,1672841,and6,200.0
Carcinoma of the ductus choledochus. A retrospective review of patients treated for,Neoplasms,1.0,1990877,and6,200.0
Early postoperative balloon coronary angioplasty for failed coronary artery bypass grafting. In,Cardiovascular Diseases,1.0,35545368,and6,200.0
Management of multiple risk factors for coronary heart disease in patients with,Cardiovascular Diseases,1.0,41001676,and6,200.0
Sympathetic neural contribution to salt-induced hypertension in Dahl rats. The Dahl strain,Cardiovascular Diseases,1.0,20228120,and6,200.0
Anionic complex-carbohydrate units of human thyroglobulin. Human thyroglobulin (hTG) contains sulfate in,Neoplasms,1.0,1855482,and6,200.0
Complications of extracorporeal membrane oxygenation in neonates. In cases of severe respiratory,General Pathological Conditions,1.0,40326564,and6,200.0
A randomised double-blind study of interpleural analgesia after cholecystectomy. Continuous interpleural analgesia,General Pathological Conditions,1.0,18630763,and6,200.0
Association of germ cell tumors and Hodgkin's disease. Two patients presented with,Neoplasms,1.0,38348421,and6,200.0
Pseudohypoglycemia in adult victims of adolescent incest. Two patients with complaints of,General Pathological Conditions,1.0,2237569,and6,200.0
The clinical importance of drug interactions with antiulcer therapy. The overall safety,Digestive System Diseases,1.0,2246495,and6,200.0
Ventricular tachycardia during routine treadmill testing. Risk and prognosis. Exercise-induced ventricular tachycardia,Cardiovascular Diseases,1.0,21450647,nofield,200.0
Induction of cytotoxicity of the renal hilar lymph nodes by pedal subcutaneous,Neoplasms,1.0,1991296,and6,200.0
The role of infections in the rheumatic diseases: molecular mimicry between bacterial,General Pathological Conditions,1.0,39209011,and6,200.0
Primary non-Hodgkin's T-cell lymphoma of the esophagus. A case with peculiar endoscopic,Neoplasms,1.0,41018125,and6,200.0
A prospective study of sodium-lithium countertransport and hypertension in Utah. A 7-year,Cardiovascular Diseases,1.0,15269707,and6,200.0
Use of plasmid profiles in the investigation of a patient with Helicobacter,Digestive System Diseases,1.0,1998317,and6,200.0
Primary malignant melanoma of the lower respiratory tract. Report of a case,Neoplasms,1.0,30319967,and6,200.0
Reduction of the membrane fluidity of human breast cancer cells by tamoxifen,Neoplasms,1.0,32878706,and6,200.0
Warner-Lambert/Parke-Davis Award lecture. Pathobiology of the intestinal epithelial barrier. The major route,Digestive System Diseases,1.0,9811320,and6,200.0
Fetal abdominal abnormalities associated with genetic syndromes. Sonographic technology has given the,General Pathological Conditions,1.0,40150018,and6,200.0
Electroencephalographic parameters in assessing the cognitive function of children with epilepsy. Many,Nervous System Diseases,1.0,2279483,and6,200.0
Ultrasound demonstration of a superior mesenteric artery aneurysm in a patient with,Cardiovascular Diseases,1.0,17629061,and6,200.0
"Identification, prevention, and treatment of silicone oil pupillary block after an inferior",General Pathological Conditions,1.0,1882958,and6,200.0
Aberrant regeneration in a case of syringobulbia: selective co-activation of abducens and,Nervous System Diseases,1.0,2277276,and6,200.0
The febrile alcoholic in the emergency department. The authors retrospectively reviewed the,General Pathological Conditions,1.0,1985654,and6,200.0
Spinal glioblastomas: report of seven cases and review of the literature. Intramedullary,Neoplasms,1.0,1847741,and6,200.0
HLA-D locus associations in alopecia areata. DRw52a may confer disease resistance. Because,General Pathological Conditions,1.0,1670917,and6,200.0
The influence of elastic compression stockings on deep venous hemodynamics. To determine,Cardiovascular Diseases,1.0,18983518,and6,200.0
Intracranial pressure and cerebrospinal fluid outflow conductance in healthy subjects. Conductance of,Nervous System Diseases,1.0,17323083,and6,200.0
Stereotactic investigation of limbic epilepsy using a multimodal image analysis system. Technical,Nervous System Diseases,1.0,2213173,and6,200.0
Effects of head trauma from motor vehicle accidents on Parkinson's disease. During,Nervous System Diseases,1.0,39430545,and6,200.0
Intraepithelial anchoring fibril components. Cultured human keratinocytes and cultured human cervical carcinoma,Neoplasms,1.0,1986707,and6,200.0
Volumetric atrophy of the amygdala in Alzheimer's disease: quantitative serial reconstruction. The,General Pathological Conditions,1.0,40626372,and6,200.0
Spermatic cord for onlay coverage of urethral defect. Segmental urethral necrosis may,General Pathological Conditions,1.0,1997710,and6,200.0
Epidemiology of primary osteogenic sarcoma in the San Francisco Bay Area of,Neoplasms,1.0,1993379,and6,200.0
Double-peaking circadian variation in the occurrence of sustained supraventricular tachyarrhythmias. We studied,Cardiovascular Diseases,1.0,1978978,and6,200.0
Angiographic arterial embolization and computed tomography-directed drainage for the management of hemorrhage,General Pathological Conditions,1.0,22974656,and6,200.0
Thyrotoxicosis induced by topical iodine application. We describe an elderly man who,Cardiovascular Diseases,1.0,2241453,and6,200.0
A frameshift mutation leading to type 1 antithrombin deficiency and thrombosis. Type,Cardiovascular Diseases,1.0,15164384,and6,200.0
Biomechanical evaluation of lumbar spinal stability after graded facetectomies. In an in,General Pathological Conditions,1.0,32809607,and6,200.0
Deleterious effects of testicular venous occlusion in young rats. To determine the,Cardiovascular Diseases,1.0,2237721,and6,200.0
Respiratory failure and unilateral caudal brainstem infarction. We report clinicotopographic correlations in,Nervous System Diseases,1.0,21778729,and6,200.0
Granular cell tumor of the esophagus: endoscopic ultrasonographic demonstration and endoscopic removal.,Neoplasms,1.0,16858529,and6,200.0
Baroreflex control of renal sympathetic nerve activity is potentiated at early phase,Cardiovascular Diseases,1.0,40349310,and6,200.0
Relationship of atherosclerosis in young men to serum lipoprotein cholesterol concentrations and,Cardiovascular Diseases,1.0,35806938,and6,200.0
High incidence of antibodies to HTLV-I tax in blood relatives of adult,Neoplasms,1.0,20505272,and6,200.0
Mitral stenosis: evaluation with MR imaging after percutaneous balloon valvuloplasty. To evaluate,Cardiovascular Diseases,1.0,27491611,and6,200.0
Neurophysiological observations on corticospinal projections to the upper limb in subjects with,Nervous System Diseases,1.0,2266369,and6,200.0
In vivo rheologic effects of lipid apheresis techniques: comparison of dextran sulfate,Cardiovascular Diseases,1.0,2252691,and6,200.0
"A rapid, effective technique for retrograde crossing of valvular aortic stenosis using",Cardiovascular Diseases,1.0,2208268,and6,200.0
Anterior segment ischemia: a complication of retinal detachment repair in a patient,Cardiovascular Diseases,1.0,39651517,and6,200.0
ACTH therapy in infantile spasms: relationship between dose of ACTH and initial,Nervous System Diseases,1.0,37591361,nofield,200.0
Foreign bodies in the throat: a prospective study of 388 cases. We,General Pathological Conditions,1.0,2013717,and6,200.0
Extramedullary hematopoiesis in a bronchial carcinoid tumor. An unusual complication of agnogenic,Neoplasms,1.0,2252428,and6,200.0
Lack of prognostic value of nucleolar organizer region enumeration in transitional cell,Neoplasms,1.0,1701296,and6,200.0
Calculated risk of chromosomal abnormalities in twin gestations. Genetic counseling concerning the,General Pathological Conditions,1.0,2146537,and6,200.0
Mitral annular calcification: significant and worth acting upon. Mitral annular calcification (MAC),Cardiovascular Diseases,1.0,2010097,and6,200.0
Nuclear sclerotic cataract after vitrectomy for idiopathic epiretinal membranes causing macular pucker.,General Pathological Conditions,1.0,15218762,and6,200.0
Lymphoscintigraphy with 123I-labelled epidermal growth factor We have used 123I-labelled epidermal growth,Neoplasms,1.0,1673542,and6,200.0
Assessment of major venous anomalies by computerized tomography. Congenital anomalies of major,Cardiovascular Diseases,1.0,2229162,and6,200.0
Symptoms of achalasia in young women mistaken as indicating primary anorexia nervosa.,Digestive System Diseases,1.0,2272221,and6,200.0
An inconsistent relationship between insulin and blood pressure in three Pacific island,Cardiovascular Diseases,1.0,2254774,nofield,200.0
Congenital demyelinating motor and sensory neuropathy with focally folded myelin sheaths. Six,Nervous System Diseases,1.0,2276038,and6,200.0
Role of nasal allergy in chronic maxillary sinusitis--diagnostic value of nasal challenge,General Pathological Conditions,1.0,34002612,and6,200.0
The role of the physician in the late diagnosis of primary malignant,Neoplasms,1.0,1998312,and6,200.0
Torulopsis glabrata vaginitis: clinical aspects and susceptibility to antifungal agents. Torulopsis glabrata,General Pathological Conditions,1.0,8448324,and6,200.0
Remitting seronegative symmetrical synovitis with pitting oedema in young adults: a subset,General Pathological Conditions,1.0,40379287,and6,200.0
Parental age in sporadic hereditary retinoblastoma. Of 104 children with sporadic hereditary,Neoplasms,1.0,2248323,and6,200.0
Tracheal and main bronchial disruptions after blunt chest trauma: presentation and management,General Pathological Conditions,1.0,8928588,and6,200.0
Impaired left ventricular filling and regional diastolic asynchrony at rest in coronary,Cardiovascular Diseases,1.0,40874884,and6,200.0
Ruling out acute myocardial infarction. A prospective multicenter validation of a 12-hour,General Pathological Conditions,1.0,40989807,and6,200.0
Sudden appearance of coronary thrombus observed by angiography--a case report. A sudden,Cardiovascular Diseases,1.0,1992859,and6,200.0
"Phase I study of repeated cycles of high-dose cyclophosphamide, etoposide, and cisplatin",Neoplasms,1.0,38295628,and6,200.0
Furosemide absorption in patients with cirrhosis. Twelve patients with cirrhosis (seven mild,Digestive System Diseases,1.0,2007318,and6,200.0
Traumatic rupture of the thoracic aorta presenting as transient paraplegia. A patient,Cardiovascular Diseases,1.0,2212560,and6,200.0
Failure of internal fixation of displaced femoral neck fractures in rheumatoid patients.,General Pathological Conditions,1.0,40521881,and6,200.0
Body position changes redistribute lung computed-tomographic density in patients with acute respiratory,General Pathological Conditions,1.0,37437112,and6,200.0
Long-term results of revision endolymphatic sac surgery. The results of revision endolymphatic,General Pathological Conditions,1.0,19015441,and6,200.0
